Pinyin,Wade-Giles,Romatzyh,Palladiy
йие,чиех,йиех,цзе
йин,чин,йин,цзе му
йинхоу,чинхоу,йинхоуо,цзе жи
йинру,чиню,йиннрух,цзе
йинxинг,чинхсинг,йинншынг,цзинь
йин,чин,йинн,хоу цзинь
йингчанг,чингчанг,йингчарнг,цзинь жу
йинггуо,чингкуо,йинггуох,цзинь син
йингли,чингли,йинглии,цзинь
йиу,чиу,йеоу,чан цзин
йиудиан,чиутиен,йеоудианн,го цзин
йиуыао,чиуыао,йиоуоыауо,цзин ли
ю,чу,йеу,цзю
юшоу,чушоу,йеушооу,дянь цзю
юxинг,чухсинг,йеушынг,цзю яо
ю,чу,йиух,цзюй
юзи,чузи,йиухзи,цзюй шоу
ка,ка,каа,цзюй син
каийи,каичи,каийи,цзюй
каиxин,каихсин,каишин,цзюй цзы
каиxуе,каихсуех,каишыуе,ця
канфа,канфа,каннфаа,цзи кай
каошенг,каошенг,каошенг,кай синь
као,као,кауо,кай сюэ
ке,ко,ке,фа кань
кеxуе,кохсуех,кешыуе,као шэн
ке’аи,коаи,кееаы,као
кененг,коненг,кеененг,кэ
кепа,копа,кеепах,кэ сюэ
кеши,коших,кеешых,ай кэ
кеыи,кои,кееыии,кэ нэн
ке,ко,кех,кэ па
ке,ко,кех,кэ ши
керен,койен,кехрен,кэ и
кетанг,котанг,кехтарнг,кэ
конгки,кунгчи,конгчих,кэ
ку,ку,ку,кэ жэнь
куаицан,куаицан,куаыцан,кэ тан
куаидианр,куаитиенр,куаыдеанр,кун ци
куаиле,куаиле,куаылех,ку
куаиыао,куаиыао,куаыыауо,цань куай
куаизи,куаизи,куаызи,дянь эр куай
ла,ла,лха,куай лэ
лаизи,лаитзу,лаитзых,куай яо
лан,лан,лан,куай цзы
лансе,лансе,лансех,ла
ланкиу,ланчиу,ланчыоу,лай цзы
лао,лао,лао,лань
лао,лао,лао,лань сэ
лаониан,лаониен,лаониан,лань цю
ли,ли,ли,лао
ликаи,ликаи,ликаи,лао
лиуоу,лиуоу,лииуоух,лао нянь
литоу,литоу,лиитоу,ли
лиxианг,лихсианг,лиишеанг,кай ли
лиру,лию,лихру,ли у
лизи,лизи,лихзи,ли тоу
лиан,лиен,леан,ли сян
лиан,лиен,лианн,ли жу
лианxи,лиенхси,лианншыи,ли цзы
лианг,лианг,лианг,лянь
лиангкуаи,лиангкуаи,лиангкуаи,лянь
лианг,лианг,леанг,лянь си
лианг,лианг,лианк,лян
лианг,лианг,лианк,куай лян
лингxиа,лингхсиа,лингшиах,лян
лиу,лиу,лиоу,лян
лиуxиа,лиухсиа,лиоушиах,лян
лиуxуешенг,лиухсуехшенг,лиоушыуешенг,лин ся
лиу,лиу,лиоу,лю
лиули,лиули,лиоулих,лю ся
лиуxинг,лиухсинг,лиоушынг,лю шэн сюэ
лубиан,лупиен,лухбиан,лю
маи,маи,маы,ли лю
ман,ман,маан,лю син
маныи,мани,мааныих,бянь лу
мао,мао,мхау,май
ми,ми,мии,мань
мианкиан,миенчиен,мианнчыан,мань и
минг,минг,минг,мао
мингченг,мингченг,мингченг,ми
мингдан,мингтан,мингдан,мянь цянь
мингxинг,мингхсинг,мингшинг,мин
муди,мути,мухдих,чэн мин
начу,начу,начу,дань мин
надао,натао,надауо,мин син
нахуир,нахуир,наххуеыр,дэ му
наме,наме,нахме,чу на
нашихоу,нашиххоу,нахшырхоу,дао на
наыанг,наыанг,нахыанк,эр хуэй (хой) на
нанфанг,нанфанг,нанфанг,на яо
нангуо,нанкуо,нангуох,хоу на ши
нанкан,нанкан,нанканн,на ян
наншоу,наншоу,наншоуо,фан
нанти,нанти,нантыи,го
нантинг,нантинг,нантинг,кань
ненггоу,ненгкоу,ненггоуо,шоу
нианйи,ниенчи,нианйыи,ти
нианкинг,ниенчинг,нианчинг,тин
нули,нули,нуулих,гоу нэн
па,па,пар,цзи нянь
пашан,пашан,паршан,нянь цин
па,па,пах,ли ну
паи,паи,паир,па
паидуи,паитуи,паирдуеы,па шань
паикиу,паичиу,паирчыоу,па
пенг,пенг,пенк,пай
пенгдао,пенгтао,пенкдауо,дуй пай
пенгйиан,пенгчиен,пенкйианн,пай цю
пиан,пиен,пиан,пэн
пиан,пиен,пианн,дао пэн
пиаолианг,пиаолианг,пиауолианг,цзянь пэн
пинг,пинг,пынг,пянь
пинг’ан,пинган,пынган,пянь
пингчанг,пингчанг,пынгчарнг,лян пяо
пингденг,пингтенг,пынгдеенг,пин
пингши,пингших,пынгшыр,ань пин
пинг,пинг,пынг,чан пин
пингзи,пингзи,пынгзи,дэн пин
путонг,путунг,пуутонг,пин ши
путонгхуа,путунгхуа,пуутонгхуах,пин
кита,чита,чыита,пин цзы
кижонг,чичунг,чыийонг,пу тун
ки,чи,чыи,хуа пу тун
киче,чиче,чыиче,ци та
кифеи,чифеи,чиифеи,ци чжун
ки,чи,чих,ци
киуоен,чиуоен,чихуен,чэ ци
киан,чиен,чиан,фэй ци
кианке,чиенко,чианкех,ци
кианниан,чиенниен,чыанниан,ци вэнь
кианг,чианг,чыанг,цянь
кингниан,чингниен,чингниан,кэ цянь
кингшаониан,чингшаониен,чингшауониан,нянь цянь
кинг,чинг,чинг,цян
кингчу,чингчу,чингчу,нянь цин
кинг,чинг,чынг,нянь цин шао
кингтиан,чингтиен,чынгтиан,цин
кингке,чингко,чиингкех,чу цин
кингкиу,чингчиу,чиингчыоу,цин
киутиан,чиутиен,чиоутиан,цин тянь
киу,чиу,чыоу,кэ цин
киучанг,чиучанг,чыоучаанг,цин цю
киудуи,чиутуи,чыоудуеы,цю тянь
киуxие,чиухсиех,чыоушые,цю
ку,чу,чеу,чан цю
куде,чуте,чеудер,дуй цю
куан,чуан,чыуан,цю се
куанбу,чуанпу,чыуанбух,цюй
куангуо,чуанкуо,чыуангуоо,дэ цюй
куанйиа,чуанчиа,чыуанйиа,цюань
куанниан,чуанниен,чыуанниан,бу цюань
куаншен,чуаншен,чыуаншен,го цюань
куанти,чуанти,чыуантии,цзя цюань
ранхоу,янхоу,ранхоуо,нянь цюань
ранг,янг,ранк,цюань шэнь
рекинг,йечинг,рехчынг,цюань ти
ренкоу,йенкоу,ренкооу,хоу жань
ренмен,йенмен,ренмен,жан
реншу,йеншу,реншух,цин жэ
ренуоеи,йенуоеи,реннуоеи,коу жэнь
рибао,йихпао,рыхбауо,мэнь жэнь
ризи,йихзи,рыхзи,жэнь шу
ругуо,юкуо,ругуоо,жэнь вэй
рукоу,юкоу,рухкооу,бао жи
шанглианг,шанглианг,шанглианг,жи цзы
шангрен,шангйен,шангрен,го жу
шангжоу,шангчоу,шанкйоу,коу жу
шаошу,шаошу,шаошух,лян шан
шаониан,шаониен,шауониан,жэнь шан
шенбиан,шенпиен,шенбиан,шан чжоу
шенмеыанг,шенмеыанг,шернмеыанк,шао шу
шенг,шенг,шенг,нянь шао
шенгци,шенгтзу,шенгцыр,бянь шэнь
шенгхуо,шенгхуо,шенгхуоо,ши ян яо
шенгыин,шенгыин,шенгин,шэн
шенг,шенг,шеенг,цы шэн
шенг,шенг,шеенг,хо шэн
шифен,шихфен,шырфен,шэн инь
шийи,шихчи,шырйих,шэн
шиxи,шиххси,шыршыи,шэн
шиxиан,шиххсиен,шыршианн,фэнь ши
шизаи,шихцаи,шыртзаы,цзи ши
шиуоу,шихуоу,шыруоух,ши си
шиыонг,шихыунг,шыыыонк,ши сянь
ши,ших,шых,ши цзай
шижанг,шихчанг,шыхяанг,ши у
шикинг,шихкинг,шыхкинг,ши юн
шоу,шоу,шоу,ши
шоудао,шоутао,шоудауо,чан ши
шоуру,шоую,шоурух,цин ши
шоубиао,шоупиао,шооубеау,шоу
шоудао,шоутао,шоуодауо,дао шоу
шуфу,шуфу,шуфу,жу шоу
шу,шу,шуоу,бяо шоу
шу,шу,шуу,дао шоу
шузи,шутзу,шухтзых,фу шу
шуипинг,шуипинг,шоеипынг,шу
шунли,шунли,шуеннлих,шу
шуоминг,шуоминг,шуоминг,шу цзы
сийи,ссучи,сыйи,пин шуй
сонгдао,сунгтао,сонкдауо,ли шунь
сонггеи,сунгкеи,сонкгееи,мин шо
суан,суан,суанн,цзи сы
суиран,суиян,суеиран,дао сун
суибиан,суипиен,суоеибианн,гэй сун
суиши,суиших,суоеишыр,суань
суоыи,сои,суооыии,жань суй
суоыоу,соыу,суооыеоу,бянь суй
та,та,та,суй ши
тамен,тамен,тамен,со и
таитаи,таитаи,таытаи,со ю
таиду,таиду,таыду,та
таолун,таолун,таолуенн,мэнь та
тао,тао,тауо,тай тай
тебие,тепиех,техбые,ду тай
тедиан,тетиен,техдеан,лунь тао
тенг,тенг,тернг,тао
ти,ти,тыи,бе тэ
тичу,тичу,тыичу,дянь тэ
тидао,титао,тыидауо,тэн
тигао,тикао,тыигау,ти
ти,ти,тыи,чу ти
тиыу,тиыу,тииыух,дао ти
тиыучанг,тиыучанг,тииыухчаанг,гао ти
тиыугуан,тиыукуан,тииыухгоан,ти
тианшанг,тиеншанг,тианшанк,ти юй
тиао,тиао,тыау,чан ти юй
тиаойиан,тиаочиен,тыауйианн,гуань ти юй
тингйианг,тингчианг,тингйеанг,шан тянь
тингшуо,тингшуо,тингшуо,тяо
тинг,тинг,тынг,цзянь тяо
тингче,тингче,тынгче,цзян тин
тингчечанг,тингчечанг,тынгчечаанг,шо тин
тинг,тинг,тиинг,тин
тингхао,тингхао,тиингхао,чэ тин
тонг,тунг,тонг,чан чэ тин
тонггуо,тунгкуо,тонггуох,тин
тонгжи,тунгчих,тонгйы,хао тин
тонгши,тунгших,торнгшыр,тун
тонгши,тунгших,торнгшых,го тун
тонгыанг,тунгыанг,торнгыанк,тун чжи
